Week,Top,Artist,Track
1,1,The Weeknd,Blinding Lights
1,2,Tones and I,Dance Monkey
1,3,Angèle,Oui ou non
1,4,Vitaa,Avant toi
1,5,Ne Reviens Pas,Stats
1,6,Maroon 5,Memories
1,7,Vitaa,Ça va ça vient
1,8,Major Lazer,Que Calor
1,9,Soprano,Le coach
1,10,M. Pokora,Tombé
1,11,Dua Lipa,Don't Start Now
1,12,Moulaga,Stats
1,13,Black Eyed Peas,RITMO (Bad Boys For Life)
1,14,Lady Gaga,I'll Never Love Again
1,15,Regard,Ride It
1,16,Sound Of Legend,Sweet Dreams (Are Made of This)
1,17,Clara Luciani,La grenade
1,18,Angèle,Balance ton quoi
1,19,Soprano,A Nos Héros Du Quotidien
1,20,Maître Gims,Reste
1,21,Shaed,Trampoline
1,22,Lady Gaga,Shallow
1,23,Sia,Unstoppable
1,24,Shawn Mendes,Señorita
1,25,Mariah Carey,All I Want For Christmas Is You
1,26,Billie Eilish,Bad Guy
1,27,Les Frangines,Donnez-moi
1,28,Bakermat,Baianá
1,29,Trois Cafés Gourmands,A nos souvenirs
1,30,Gambi,Popopop
1,31,Billie Eilish,everything i wanted
1,32,M. Pokora,Les planètes
1,33,Ava Max,Torn
1,34,Clara Luciani,Ma sœur
1,35,Dadju,Ma vie
1,36,SAINt JHN,Roses
1,37,Aya Nakamura,40%
1,38,Lewis Capaldi,Someone You Loved
1,39,Coldplay,Orphans
1,40,Jean-Louis Aubert,Bien sûr
1,41,Angèle,Tout oublier
1,42,Lady Gaga,Always Remember Us This Way
1,43,Clara Luciani,Nue
1,44,Aya Nakamura,Pookie
1,45,Lil Nas X,Old Town Road
1,46,Maëlle,Toutes les machines ont un coeur
1,47,Jorja Smith,Be Honest
1,48,Christophe Maé,Les Gens
1,49,Turn Me On,Stats
1,50,Angèle,Flou
2,1,The Weeknd,Blinding Lights
2,2,Tones and I,Dance Monkey
2,3,Vitaa,Avant toi
2,4,Ne Reviens Pas,Stats
2,5,Angèle,Oui ou non
2,6,Justin Bieber,Yummy
2,7,Maroon 5,Memories
2,8,Moulaga,Stats
2,9,Vitaa,Ça va ça vient
2,10,Lady Gaga,I'll Never Love Again
2,11,Regard,Ride It
2,12,Dua Lipa,Don't Start Now
2,13,Black Eyed Peas,RITMO (Bad Boys For Life)
2,14,Lady Gaga,Shallow
2,15,Shaed,Trampoline
2,16,Soprano,A Nos Héros Du Quotidien
2,17,Sia,Unstoppable
2,18,M. Pokora,Tombé
2,19,Maître Gims,Reste
2,20,Ava Max,Torn
2,21,Major Lazer,Que Calor
2,22,SAINt JHN,Roses
2,23,Bakermat,Baianá
2,24,Sound Of Legend,Sweet Dreams (Are Made of This)
2,25,Shawn Mendes,Señorita
2,26,Lewis Capaldi,Someone You Loved
2,27,Angèle,Balance ton quoi
2,28,Clara Luciani,Ma sœur
2,29,Soprano,Le coach
2,30,Ginette Reno,Ça Pleure Aussi Un Homme
2,31,Les Frangines,Donnez-moi
2,32,Younha,Winter Flower
2,33,Mylène Farmer,L'instant X
2,34,Billie Eilish,Bad Guy
2,35,Jorja Smith,Be Honest
2,36,Nea,Some Say
2,37,Clara Luciani,La grenade
2,38,Billie Eilish,everything i wanted
2,39,Aya Nakamura,40%
2,40,Dadju,Ma vie
2,41,Gambi,Popopop
2,42,Jean-Louis Aubert,Bien sûr
2,43,Lady Gaga,Always Remember Us This Way
2,44,Lizzo,Good As Hell
2,45,Coldplay,Orphans
2,46,The Avener,You Belong
2,47,Angèle,Tout oublier
2,48,Aya Nakamura,Pookie
2,49,Lil Nas X,Old Town Road
2,50,Lewis Capaldi,Before You Go
3,1,The Weeknd,Blinding Lights
3,2,Tones and I,Dance Monkey
3,3,Vitaa,Avant toi
3,4,Ne Reviens Pas,Stats
3,5,Maroon 5,Memories
3,6,Alicia Keys,Underdog
3,7,Vitaa,Ça va ça vient
3,8,Angèle,Oui ou non
3,9,Dua Lipa,Don't Start Now
3,10,Moulaga,Stats
3,11,Black Eyed Peas,RITMO (Bad Boys For Life)
3,12,Regard,Ride It
3,13,SAINt JHN,Roses
3,14,M. Pokora,Tombé
3,15,Ava Max,Torn
3,16,Lady Gaga,I'll Never Love Again
3,17,Lady Gaga,Shallow
3,18,Antoine Elie,La Rose Et L'armure
3,19,Billie Eilish,Bad Guy
3,20,Maître Gims,Reste
3,21,Sia,Unstoppable
3,22,Justin Bieber,Yummy
3,23,Lil Nas X,Old Town Road
3,24,Vitalic,Waiting For The Stars
3,25,Les Frangines,Donnez-moi
3,26,Shaed,Trampoline
3,27,Selena Gomez,Rare
3,28,Nicky Jam,Muévelo
3,29,Soprano,A Nos Héros Du Quotidien
3,30,Nea,Some Say
3,31,Bakermat,Baianá
3,32,Lewis Capaldi,Someone You Loved
3,33,Angèle,Balance ton quoi
3,34,Shawn Mendes,Señorita
3,35,Clara Luciani,Ma sœur
3,36,Major Lazer,Que Calor
3,37,Selena Gomez,Lose You To Love Me
3,38,Robin Schulz,In Your Eyes
3,39,Soprano,Le coach
3,40,Future,Life Is Good
3,41,Billie Eilish,everything i wanted
3,42,Clara Luciani,La grenade
3,43,Lady Gaga,Always Remember Us This Way
3,44,Indochine,Un été français
3,45,Gambi,Popopop
3,46,Dadju,Ma vie
3,47,Carla,Bim Bam Toi
3,48,Jean-Louis Aubert,Bien sûr
3,49,Aya Nakamura,40%
3,50,Jorja Smith,Be Honest
4,1,The Weeknd,Blinding Lights
4,2,Tones and I,Dance Monkey
